1	0	1	oh
2	0	1	my
3	1	1	pa
4	3	1	pa
5	0	1	to
6	0	1	me
7	0	1	he
8	0	1	was
9	0	1	so
10	1	1	won
11	2	1	der
12	3	1	ful
13	0	1	oh
14	0	1	my
15	1	1	pa
16	3	1	pa
17	0	1	to
18	0	1	me
19	0	1	he
20	0	1	was
21	0	1	so
22	0	1	good
24	0	1	no
25	0	1	one
26	0	1	could
27	0	1	be
28	0	1	so
29	1	1	gen
30	3	1	tle
31	0	1	and
32	0	1	so
33	1	1	lov
34	2	1	a
35	3	1	ble
36	0	1	oh
37	0	1	my
38	1	1	pa
39	3	1	pa
40	0	1	he
41	1	1	al
42	3	1	ways
43	1	1	un
44	2	1	der
45	3	1	stood
46	0	1	gone
47	0	1	are
48	0	1	the
49	0	1	days
50	0	1	when
51	0	1	he
52	0	1	would
53	0	1	take
54	0	1	me
55	0	1	on
56	0	1	his
57	0	1	knee
58	0	1	and
59	0	1	with
60	0	1	a
61	0	1	smile
62	0	1	hed
63	0	1	change
64	0	1	my
65	0	1	tears
66	0	1	to
67	1	1	laugh
68	3	1	ter
69	0	1	oh
70	0	1	my
71	1	1	pa
72	3	1	pa
73	0	1	so
74	1	1	fun
75	3	1	ny
76	0	1	so
77	0	1	a
78	1	1	dor
79	2	1	a
80	3	1	ble
81	1	1	al
82	3	1	ways
83	0	1	the
84	0	1	clown
85	0	1	so
86	1	1	fun
87	3	1	ny
88	0	1	in
89	0	1	his
90	0	1	way
92	0	1	oh
93	0	1	my
94	1	1	pa
95	3	1	pa
96	0	1	to
97	0	1	me
98	0	1	he
99	0	1	was
100	0	1	so
101	1	1	won
102	2	1	der
103	3	1	ful
104	0	1	deep
105	0	1	in
106	0	1	my
107	0	1	heart
108	0	1	i
109	0	1	miss
110	0	1	him
111	0	1	so
112	1	1	to
113	3	1	day
226	0	1	day
228	0	1	oh
229	0	1	my
230	1	1	pa
231	3	1	pa
233	0	1	oh
234	0	1	my
235	1	1	pa
236	3	1	pa
238	0	1	oh
239	0	1	my
240	1	1	pa
241	3	1	pa
